days_range,price,title,volume
"83,000.00 - 85,400.00","85,300.00","Samsung Electronics Co., Ltd. (005930.KS)","33,708,989"
highest_price,lowest_price,price,title,volume
"고가 85,400","저가 83,000","85,300",삼성전자,"33,768,223"
highest_price,lowest_price,price,title,volume
"85,400","83,000","85,300",삼성전자,"33,768,223"
highest_price,lowest_price,price,title,volume
"85,400","83,000","85,300",삼성전자,"33,768,223"
highest_price,lowest_price,price,title,volume
"85,400","83,000","85,300",삼성전자,"33,768,223"
highest_price,lowest_price,price,title,volume
"85,400","83,000","85,300",삼성전자,"33,768,223"
highest_price,lowest_price,price,title,volume
"85,400","83,000","85,300",삼성전자,"33,768,223"
highest_price,lowest_price,price,title,volume
"85,400","83,000","85,300",삼성전자,"33,768,223"
highest_price,lowest_price,price,title,volume
"85,400","83,000","85,300",삼성전자,"33,768,223"
highest_price,lowest_price,price,title,volume
"85,400","83,000","85,300",삼성전자,"33,768,223"
highest_price,lowest_price,price,title,volume
"85,400","83,000","85,300",삼성전자,"33,768,223"
highest_price,lowest_price,price,title,volume
"85,400","83,000","85,300",삼성전자,"33,768,223"
highest_price,lowest_price,price,title,volume
"85,400","83,000","85,300",삼성전자,"33,768,223"
